Tempo_idTempo;Hospede_idHospede;Apto_idApartamento;Produto_idProduto;Servico_idServico;quantidade;Valor_Consumo
3;14;10;5;9;3;267.31
19;16;10;10;8;4;49.34
23;18;1;1;6;3;141.56
27;8;10;3;6;4;204.44
21;16;12;8;9;3;225.51
8;16;2;9;9;2;284.33
4;15;13;8;7;4;131.55
23;1;4;5;8;4;225.26
25;3;11;3;6;1;54.81
10;10;4;10;4;2;130.32
28;8;5;7;4;4;38.72
22;13;11;8;10;5;151.91
20;8;2;2;7;3;128.35
26;10;3;8;4;5;285.94
4;19;4;6;7;3;19.49
26;12;3;7;1;3;117.45
19;16;9;6;6;1;138.58
26;18;2;6;8;4;285.66
2;17;3;2;7;3;258.08
12;12;1;3;7;1;38.81
18;14;7;6;3;5;208.85
14;18;8;7;8;1;167.9
22;11;12;8;1;5;293.57
12;12;10;5;3;4;114.02
3;15;8;7;9;3;125.46
17;9;5;9;10;2;65.04
21;10;1;1;6;5;45.43
11;9;4;8;2;3;255.93
1;8;5;2;8;2;141.87
28;4;12;6;2;2;202.2
14;7;5;5;9;5;196.09
27;11;12;6;8;3;183.17
16;4;14;2;1;2;16.19
4;18;8;7;3;1;238.17
14;6;2;9;7;1;80.63
12;7;11;1;3;3;46.52
21;7;4;9;2;4;173.73
29;16;15;8;8;1;29.9
27;9;5;7;5;5;231.9
15;19;13;1;6;3;70.08
23;17;13;4;10;2;72.63
5;20;11;9;7;1;262.21
14;10;10;6;2;3;105.28
6;4;11;10;6;3;52.79
24;7;13;8;9;4;271.15
17;10;15;8;7;2;10.82
21;8;4;1;6;2;258.94
9;12;7;4;8;2;51.96
20;6;2;5;9;5;47.7
26;10;9;9;1;3;82.69
30;1;4;3;10;5;60.6
18;18;11;5;2;5;201.71
25;5;3;8;4;3;17.48
16;9;15;8;5;2;14.31
15;2;5;2;4;3;239.1
14;2;14;1;2;4;79.0
27;18;3;10;7;3;103.89
24;10;2;4;2;3;60.53
19;5;1;3;2;1;25.2
9;16;3;5;8;4;225.1
11;4;13;9;3;1;162.56
28;1;5;1;5;2;226.24
8;19;10;9;1;2;148.11
27;10;12;7;1;4;235.62
30;16;14;2;6;5;158.84
3;16;10;4;1;3;41.63
9;15;15;2;5;1;156.11
29;11;5;8;6;4;284.17
15;6;8;2;6;1;22.58
8;2;2;3;7;3;237.14
25;9;8;8;3;5;261.42
15;16;12;5;4;1;161.22
19;4;5;9;9;4;142.83
20;3;12;5;7;3;289.57
22;13;7;7;10;3;27.64
13;16;5;8;3;5;148.9
11;3;9;8;3;4;126.47
1;19;9;4;3;3;208.97
16;2;8;8;2;1;152.18
28;5;8;9;10;2;273.81
11;5;2;3;7;4;31.31
6;19;10;7;10;1;33.43
16;10;1;4;4;5;186.41
7;3;15;10;8;5;29.05
12;8;7;9;10;3;89.75
26;4;12;3;3;5;193.59
9;18;6;2;4;2;169.02
11;14;10;5;8;1;104.3
9;20;5;7;5;4;298.44
29;20;1;6;8;3;163.86
20;20;2;9;5;4;141.58
23;8;4;5;1;1;185.57
29;17;11;1;8;2;38.76
9;13;14;5;5;1;213.52
18;15;14;5;9;1;257.31
1;15;10;10;3;3;198.77
17;10;10;10;2;4;233.0
7;19;1;8;8;1;219.04
3;14;13;3;6;1;72.36
8;10;11;8;10;2;140.95
