Hospede_idHospede;Meio_Transporte;Agencia_idAgencia;Apartamento_idApartamento;Motivo_Viagem;Tempo_idTempo;Valor_Faturado
4;2;2;10;3;14;1186.17
1;5;1;1;2;26;1814.97
9;5;4;10;3;19;1538.58
8;3;2;2;2;20;1054.41
8;5;1;7;4;21;666.54
5;4;6;11;4;11;645.03
4;5;2;10;1;15;1347.79
18;4;9;10;1;15;1578.46
3;3;4;9;1;15;1138.34
19;2;5;6;2;22;1328.15
14;2;8;15;1;7;694.28
2;5;4;5;3;17;339.47
1;4;9;4;2;16;714.31
3;1;3;11;4;26;689.09
7;1;10;12;2;29;775.48
8;1;10;6;1;26;1172.27
17;2;8;4;3;24;449.07
20;2;4;5;3;6;616.27
1;4;8;7;1;22;1449.11
18;5;7;3;3;3;1471.55
7;1;4;11;2;10;315.61
18;4;2;11;2;17;933.68
14;4;2;5;1;22;1176.7
8;5;7;8;3;21;948.39
15;4;6;6;4;20;572.3
19;5;7;15;2;11;956.26
9;3;7;13;2;3;1828.71
1;5;8;15;2;27;1251.34
6;1;1;2;2;25;1451.94
14;1;2;1;4;8;1742.12
11;5;1;8;1;22;1578.07
9;3;7;10;2;10;884.69
5;3;6;10;3;8;210.61
7;1;2;2;4;26;833.17
11;3;4;2;2;7;1556.26
4;4;4;9;3;5;1736.21
3;2;4;4;2;1;1916.17
13;4;9;9;1;2;954.24
4;1;8;5;4;8;1545.53
12;3;3;3;1;16;1183.04
12;5;7;15;4;20;1285.85
20;2;3;6;2;28;596.97
9;5;5;15;2;25;594.96
2;1;8;2;4;3;984.5
15;3;4;15;3;15;252.24
18;5;2;4;3;14;805.03
4;5;8;6;2;29;1422.46
13;2;9;5;2;21;927.77
3;2;2;3;1;19;497.08
18;3;1;8;2;7;1041.3
10;2;9;14;4;23;429.73
20;5;1;9;3;23;1320.06
12;5;2;12;3;13;248.54
19;1;4;5;1;16;909.24
7;5;3;10;3;13;1215.91
3;3;7;13;3;8;248.78
2;4;8;11;4;5;1356.95
8;1;8;9;3;21;444.26
10;1;4;1;1;23;1031.06
3;3;7;11;1;1;290.51
8;3;1;14;3;29;882.39
4;2;3;9;2;25;580.99
13;1;7;5;3;28;788.32
9;2;1;15;1;25;1570.21
15;5;7;11;1;29;882.43
12;1;5;2;4;4;1553.62
6;1;8;15;3;25;1697.46
12;4;5;3;3;14;654.09
12;1;7;5;4;8;347.43
7;5;9;2;1;6;234.89
9;2;8;15;4;26;1170.95
3;2;3;2;2;23;1999.83
20;4;4;12;3;17;829.93
6;5;5;9;1;15;1370.26
18;2;4;3;4;2;1606.22
8;3;1;5;1;18;1373.16
6;5;10;5;2;8;1557.62
15;5;9;10;3;30;1909.3
13;4;1;4;4;28;558.85
9;2;6;12;1;4;236.68
18;5;1;6;3;15;474.29
8;2;1;4;3;5;427.2
11;3;10;11;1;26;1405.03
2;4;8;11;3;15;1215.15
8;3;9;14;3;22;592.34
2;4;9;5;4;17;1459.04
11;5;3;9;3;18;1580.42
13;4;1;8;4;20;502.02
9;1;9;5;3;11;1293.05
3;2;2;15;2;25;1546.27
7;2;3;15;2;29;406.16
19;1;2;14;4;15;1674.74
11;3;10;1;4;20;1936.5
7;1;2;2;2;27;394.58
16;5;4;11;3;24;246.22
13;5;7;7;4;29;761.52
15;2;2;14;1;17;1419.23
5;5;10;5;3;14;1924.71
9;2;4;1;3;27;913.98
5;1;10;1;2;30;1487.03
